"id","title","price","permalink","brand","line","model","processor","storage","memory","condition"
"MLA1414137615","Celular Galaxy S23 256gb Green Color Verde Oscuro",1267190,"https://articulo.mercadolibre.com.ar/MLA-1414137615-celular-galaxy-s23-256gb-green-color-verde-oscuro-_JM","Samsung","Galaxy","S23","Snapdragon 8 Gen 2","256 GB","8 GB","new"
"MLA1329094555","Samsung Galaxy S23 Ultra 5g 256 Gb  Phantom Black 12 Gb Ram",1999999,"https://articulo.mercadolibre.com.ar/MLA-1329094555-samsung-galaxy-s23-ultra-5g-256-gb-phantom-black-12-gb-ram-_JM","Samsung","Galaxy S","S23 Ultra","Snapdragon 8 Gen 2","256 GB","12 GB","new"
"MLA1644403272","Celular Samsung Galaxy Z Fold 4 512gb 12gb Ram 120hz Verde",1299999,"https://articulo.mercadolibre.com.ar/MLA-1644403272-celular-samsung-galaxy-z-fold-4-512gb-12gb-ram-120hz-verde-_JM","Samsung","Plegable","Galaxy Z Fold 4","Qualcomm Snapdragon 8+ Gen 1 (4 nm)","512 GB","12 GB","new"
"MLA1406359401","Samsung Galaxy A25 5g Dual Sim 256 Gb  Azul Oscuro 8 Gb Ram",423365,"https://articulo.mercadolibre.com.ar/MLA-1406359401-samsung-galaxy-a25-5g-dual-sim-256-gb-azul-oscuro-8-gb-ram-_JM","Samsung","Galaxy A","A25 5G Dual SIM","Exynos 1280","256 GB","8 GB","new"
"MLA1383759230","Samsung Galaxy A54 5g 256 Gb  Awesome Graphite 8 Gb Ram",939999,"https://articulo.mercadolibre.com.ar/MLA-1383759230-samsung-galaxy-a54-5g-256-gb-awesome-graphite-8-gb-ram-_JM","Samsung","Galaxy A","A54 5G","Exynos 1380","256 GB","8 GB","new"
"MLA1429295446","Samsung Galaxy A54 5g 5g 128 Gb  Awesome Graphite 8 Gb Ram",779999,"https://articulo.mercadolibre.com.ar/MLA-1429295446-samsung-galaxy-a54-5g-5g-128-gb-awesome-graphite-8-gb-ram-_JM","Samsung","Galaxy A","A54 5G","None","128 GB","8 GB","new"
"MLA1400434399","Samsung Galaxy S23 Fe 128gb 8gb Ram Negro",1164999,"https://articulo.mercadolibre.com.ar/MLA-1400434399-samsung-galaxy-s23-fe-128gb-8gb-ram-negro-_JM","Samsung","Galaxy S","S23 FE","Exynos 2200","128 GB","8 GB","new"
"MLA1231797178","Celular Samsung Galaxy Z Flip 4 5g 256gb 8gb Ram Color Graphite",749999,"https://articulo.mercadolibre.com.ar/MLA-1231797178-celular-samsung-galaxy-z-flip-4-5g-256gb-8gb-ram-color-graphite-_JM","Samsung","Galaxy Z","Z Flip4 5G","Snapdragon 8+ Gen 1","256 GB","8 GB","new"
"MLA1422141033","Samsung Galaxy S23 Ultra 512gb 12 Gb Ram Green",1978999,"https://articulo.mercadolibre.com.ar/MLA-1422141033-samsung-galaxy-s23-ultra-512gb-12-gb-ram-green-_JM","Samsung","Galaxy","S23 Ultra","Snapdragon 8 Gen 2","512 GB","12 GB","new"
"MLA1721588474","Samsung Galaxy A54 5g Dual Sim 256 Gb Blanco 8 Gb Ram",940499.05,"https://articulo.mercadolibre.com.ar/MLA-1721588474-samsung-galaxy-a54-5g-dual-sim-256-gb-blanco-8-gb-ram-_JM","Samsung","Galaxy A","A54 5G Dual SIM","Exynos 1380","256 GB","8 GB","new"
"MLA1555098722","Samsung Galaxy S23 Fe 256gb 8gb Ram Crema ",1249999,"https://articulo.mercadolibre.com.ar/MLA-1555098722-samsung-galaxy-s23-fe-256gb-8gb-ram-crema-_JM","Samsung","Galaxy S","S23 FE","Exynos 2200","256 GB","8 GB","new"
"MLA1727283784","Samsung Galaxy A15 5g 5g Dual Sim 256 Gb  Azul Oscuro 8 Gb Ram",445999,"https://articulo.mercadolibre.com.ar/MLA-1727283784-samsung-galaxy-a15-5g-5g-dual-sim-256-gb-azul-oscuro-8-gb-ram-_JM","Samsung","Galaxy A","A15 5G","MediaTek Dimensity 6100+","256 GB","8 GB","new"
"MLA1417563861","Samsung Galaxy S22 8gb + 128gb Verde",1210999,"https://articulo.mercadolibre.com.ar/MLA-1417563861-samsung-galaxy-s22-8gb-128gb-verde-_JM","Samsung","Galaxy S","S22 Dual SIM (Snapdragon)","Snapdragon 8 Gen 1","128 GB","8 GB","new"
